x1	y1

0.855050	2.349232
0.855050	2.349232
0.855050	2.349232
0.855050	2.349232
0.855050	2.349232
0.855050	2.349232
0.855050	2.349232
0.855051	2.349231
0.855051	2.349231
0.855051	2.349231
0.855053	2.349231
0.855054	2.349230
0.855057	2.349229
0.855075	2.349223
0.855106	2.349211
0.855150	2.349195
0.855206	2.349175
0.855675	2.349004
0.856456	2.348719
0.857551	2.348320
0.858958	2.347806
0.870707	2.343472
0.890361	2.336075
0.918024	2.325345
0.953825	2.310891
1.040000	2.273225
1.154648	2.217143
1.298384	2.136335
1.470342	2.021960
1.598602	1.922146
1.736482	1.798567
1.881183	1.646778
2.028256	1.462012
2.171309	1.239590
2.302184	0.974914
2.410161	0.665227
2.481330	0.310626
2.500692	-0.032356
2.468439	-0.401294
2.374008	-0.786933
2.208361	-1.175300
1.977704	-1.532891
1.675387	-1.858872
1.305935	-2.134834
0.880346	-2.343222
0.443887	-2.464182
-0.010660	-2.504488
-0.464745	-2.461191
-0.899924	-2.337672
-1.228366	-2.183609
-1.525478	-1.988138
-1.785671	-1.758788
-2.005579	-1.503845
-2.209944	-1.184472
-2.358067	-0.854325
-2.453270	-0.524415
-2.500969	-0.203743
-2.503998	0.174373
-2.456823	0.518735
-2.372693	0.824873
-2.263420	1.091594
-2.114423	1.359891
-1.957053	1.579677
-1.801011	1.757178
-1.652944	1.898682
-1.502560	2.021309
-1.370328	2.114571
-1.258036	2.184627
-1.166367	2.236368
-1.074989	2.283567
-1.020414	2.310251
-1.002209	2.320105
-1.019960	2.314467
-1.070137	2.293589
-1.153784	2.254733
-1.271542	2.192832
-1.423086	2.100045
-1.546114	2.012794
-1.683153	1.901426
-1.831724	1.760801
-1.987528	1.585114
-2.143977	1.368378
-2.292478	1.104210
-2.421056	0.788056
-2.513323	0.418480
-2.548161	0.074098
-2.532511	-0.300509
-2.454651	-0.696685
-2.303987	-1.100617
-2.085577	-1.476016
-1.791541	-1.823545
-1.425172	-2.123680
-0.996715	-2.357184
-0.554849	-2.500185
-0.090074	-2.561137
0.378523	-2.535816
0.831520	-2.426655
1.183043	-2.277611
1.502481	-2.082552
1.783275	-1.849611
2.021401	-1.587913
2.236261	-1.270700
2.395333	-0.941560
2.501701	-0.611513
2.560559	-0.289652
2.577275	0.091673
2.543217	0.440221
2.471629	0.751139
2.374407	1.022874
2.239690	1.296452
2.096591	1.521227
1.955199	1.703054
1.822566	1.847931
1.689347	1.974167
1.576893	2.068557
1.487625	2.137053
1.422777	2.184198
1.371742	2.221387
1.377315	2.222777
1.439855	2.188165
1.558189	2.111448
1.659917	2.036282
1.781387	1.935021
1.920008	1.802167
2.071219	1.631211
2.194250	1.465807
2.316376	1.268926
2.431582	1.037430
2.531968	0.769011
2.607852	0.462762
2.648130	0.119434
2.640857	-0.256880
2.573416	-0.657721
2.453222	-1.024457
2.269518	-1.388736
2.018937	-1.736376
1.702192	-2.051131
1.321214	-2.318036
0.888732	-2.518419
0.419641	-2.639605
-0.067273	-2.674206
-0.535546	-2.623497
-0.982797	-2.493547
-1.392981	-2.292392
-1.753930	-2.032457
-2.028553	-1.762032
-2.253933	-1.467214
-2.429720	-1.158505
-2.557973	-0.845471
-2.657562	-0.459737
-2.698541	-0.092563
-2.691917	0.247419
-2.648769	0.555046
-2.561520	0.884803
-2.451680	1.163558
-2.332609	1.394478
-2.214397	1.582042
-2.092292	1.746805
-1.987192	1.871457
-1.903764	1.962010
-1.844872	2.023174
-1.805584	2.066057
-1.822450	2.059041
-1.895180	2.000791
-2.020017	1.883968
-2.106562	1.791993
-2.204151	1.676211
-2.309930	1.533501
-2.419881	1.360523
-2.528668	1.153976
-2.629672	0.910710
-2.714572	0.628741
-2.773031	0.307809
-2.793221	-0.031156
-2.767866	-0.399357
-2.686318	-0.789291
-2.538766	-1.189287
-2.310228	-1.594933
-1.999804	-1.974998
-1.609755	-2.308041
-1.150066	-2.572427
-0.670877	-2.740682
-0.163709	-2.820567
0.350503	-2.806648
0.850177	-2.701023
1.242620	-2.547847
1.600595	-2.343394
1.916642	-2.096851
2.186236	-1.818581
2.426901	-1.488695
2.609819	-1.146650
2.738454	-0.804065
2.818416	-0.470515
2.860577	-0.078687
2.852442	0.278495
2.807917	0.595906
2.739441	0.871717
2.653942	1.116631
2.563950	1.319927
2.477253	1.485045
2.399640	1.615556
2.320563	1.736714
2.268158	1.813627
2.245770	1.850149
2.254804	1.848144
2.294741	1.807394
2.364038	1.725370
2.458988	1.597770
2.573099	1.418644
2.660272	1.256954
2.747726	1.063263
2.829627	0.835342
2.898627	0.571693
2.945960	0.271974
2.961717	-0.062695
2.935344	-0.428523
2.855809	-0.818318
2.717070	-1.211292
2.509947	-1.603943
2.230085	-1.980532
1.877723	-2.322823
1.461577	-2.609821
0.990087	-2.827013
0.478901	-2.960657
-0.052106	-3.002641
-0.569555	-2.952862
-1.064745	-2.817083
-1.520101	-2.604231
-1.922380	-2.328125
-2.227726	-2.043516
-2.481219	-1.733758
-2.682758	-1.410132
-2.834762	-1.082873
-2.962058	-0.680889
-3.029366	-0.300205
-3.048768	0.049981
-3.032251	0.364099
-2.980581	0.691955
-2.910128	0.964070
-2.834685	1.182867
-2.764629	1.351875
-2.708151	1.473641
-2.668999	1.554654
-2.650287	1.597294
-2.653539	1.602867
-2.680320	1.569287
-2.729662	1.494062
-2.798326	1.374627
-2.880864	1.207399
-2.949063	1.043261
-3.016189	0.846227
-3.076382	0.614786
-3.122443	0.348195
-3.145958	0.046856
-3.137572	-0.287379
-3.087528	-0.650216
-2.985885	-1.034337
-2.809966	-1.456418
-2.555847	-1.874574
-2.219483	-2.269432
-1.803024	-2.618950
-1.340360	-2.888866
-0.826454	-3.080637
-0.279316	-3.181778
0.279450	-3.186396
0.820606	-3.096660
1.329971	-2.919981
1.790427	-2.668146
2.190113	-2.357423
2.490859	-2.044258
2.735837	-1.711334
2.926596	-1.370544
3.067099	-1.032272
3.181724	-0.621656
3.238776	-0.241224
3.252159	0.100828
3.234927	0.399992
3.195330	0.674982
3.146285	0.898652
3.097863	1.072977
3.057530	1.200381
3.030586	1.282825
3.019819	1.323410
3.026726	1.322988
3.051206	1.281510
3.084302	1.213895
3.126817	1.115279
3.175919	0.984338
3.227717	0.819625
3.277209	0.619769
3.318303	0.383647
3.343752	0.111094
3.345054	-0.196719
3.316005	-0.514413
3.249397	-0.856571
3.137435	-1.217064
2.972980	-1.587301
2.696417	-2.031904
2.329292	-2.451830
1.873163	-2.822423
1.338529	-3.118564
0.773281	-3.310694
0.175502	-3.401297
-0.429940	-3.383933
-1.017442	-3.261547
-1.470338	-3.089382
-1.884032	-2.861925
-2.250658	-2.589938
-2.565710	-2.285375
-2.852239	-1.925495
-3.075697	-1.555922
-3.240865	-1.189825
-3.354716	-0.837937
-3.437101	-0.434434
-3.470395	-0.075060
-3.470192	0.234437
-3.450010	0.491619
-3.422166	0.691459
-3.394534	0.843483
-3.373225	0.949101
-3.362348	1.009596
-3.368844	1.019581
-3.401619	0.938995
-3.454254	0.765538
-3.512603	0.495573
-3.545797	0.241289
-3.559922	-0.064553
-3.542430	-0.420000
-3.478873	-0.819743
-3.353983	-1.254537
-3.153064	-1.710769
-2.864932	-2.169910
-2.483492	-2.607892
-2.059549	-2.962099
-1.566518	-3.256822
-1.016782	-3.474219
-0.428484	-3.600780
0.180924	-3.628222
0.782934	-3.554131
1.354865	-3.384262
1.877736	-3.131632
2.271391	-2.866088
2.613970	-2.565607
2.903192	-2.242269
3.139679	-1.907672
3.363895	-1.493727
