x1	y1

0.855050	2.349232
0.855050	2.349232
0.855050	2.349232
0.855050	2.349232
0.855050	2.349232
0.855050	2.349232
0.855050	2.349232
0.855051	2.349231
0.855051	2.349231
0.855051	2.349231
0.855053	2.349231
0.855054	2.349230
0.855057	2.349229
0.855075	2.349223
0.855106	2.349211
0.855150	2.349195
0.855206	2.349175
0.855675	2.349004
0.856456	2.348719
0.857551	2.348320
0.858958	2.347806
0.861886	2.346732
0.865629	2.345353
0.870190	2.343666
0.875572	2.341662
0.881775	2.339329
0.888805	2.336666
0.896667	2.333664
0.905364	2.330307
0.913946	2.326950
0.923217	2.323285
0.933184	2.319304
0.943846	2.314988
0.954741	2.310511
0.966287	2.305704
0.978488	2.300557
0.991345	2.295050
1.004672	2.289241
1.018646	2.283055
1.033272	2.276478
1.048551	2.269485
1.064317	2.262127
1.080729	2.254329
1.097794	2.246075
1.115508	2.237336
1.133735	2.228145
1.152609	2.218436
1.172134	2.208190
1.192305	2.197372
1.213023	2.185991
1.234383	2.173995
1.256391	2.161362
1.279034	2.148050
1.302253	2.134037
1.326103	2.119292
1.350586	2.103788
1.375683	2.087475
1.401378	2.070293
1.427678	2.052235
1.454581	2.033274
1.482058	2.013349
1.510145	1.992342
1.538788	1.970291
1.567979	1.947165
1.597678	1.922892
1.627980	1.897271
1.658755	1.870407
1.689991	1.842265
1.721626	1.812765
1.753833	1.781576
1.786384	1.748912
1.819255	1.714737
1.852359	1.678962
1.884259	1.643027
1.916290	1.605526
1.948418	1.566426
1.980543	1.525646
2.011120	1.485052
2.041590	1.442848
2.071910	1.399004
2.101973	1.353456
2.130495	1.308044
2.158655	1.260998
2.186404	1.212295
2.213625	1.161890
2.239129	1.111886
2.264010	1.060273
2.288208	1.007037
2.311606	0.952151
2.333104	0.898122
2.353723	0.842567
2.373401	0.785486
2.392021	0.726868
2.408622	0.669735
2.424120	0.611223
2.438451	0.551342
2.451507	0.490102
2.462523	0.431269
2.472272	0.371266
2.480695	0.310114
2.487699	0.247836
2.492814	0.189463
2.496605	0.130183
2.499023	0.070026
2.499994	0.009022
2.499599	-0.045014
2.498014	-0.099645
2.495204	-0.154844
2.491122	-0.210580
2.485800	-0.266102
2.479165	-0.322084
2.471185	-0.378493
2.461819	-0.435290
2.449190	-0.501448
2.434608	-0.568011
2.418033	-0.634915
2.399401	-0.702084
2.376688	-0.775446
2.351431	-0.848933
2.323595	-0.922447
2.293107	-0.995862
2.257406	-1.074272
2.218577	-1.152292
2.176611	-1.229784
2.131440	-1.306560
2.079772	-1.387250
2.024458	-1.466753
1.965533	-1.544891
1.902961	-1.621401
1.833493	-1.699471
1.760129	-1.775297
1.682977	-1.848679
1.602066	-1.919289
1.522425	-1.982991
1.439660	-2.043835
1.353910	-2.101664
1.265278	-2.156225
1.179933	-2.204046
1.092338	-2.248723
1.002644	-2.290147
0.910990	-2.328148
0.827259	-2.359178
0.742206	-2.387289
0.655961	-2.412422
0.568652	-2.434492
0.486531	-2.452212
0.403721	-2.467191
0.320336	-2.479402
0.236493	-2.488805
0.141919	-2.495969
0.047088	-2.499548
-0.047831	-2.499548
-0.142663	-2.495945
-0.222548	-2.490086
-0.302146	-2.481681
-0.381356	-2.470752
-0.460078	-2.457314
-0.553261	-2.438012
-0.645442	-2.415237
-0.736466	-2.389067
-0.826171	-2.359560
-0.926493	-2.321977
-1.024706	-2.280325
-1.120623	-2.234776
-1.214038	-2.185461
-1.314802	-2.126319
-1.412049	-2.062998
-1.505608	-1.995789
-1.595263	-1.924922
-1.690029	-1.842203
-1.779651	-1.755737
-1.864037	-1.665957
-1.943010	-1.573209
-2.019798	-1.473223
-2.090568	-1.370892
-2.155362	-1.266681
-2.214134	-1.160983
-2.266645	-1.054693
-2.313380	-0.947743
-2.354487	-0.840513
-2.390061	-0.733341
-2.420771	-0.624438
-2.446113	-0.516262
-2.466310	-0.409111
-2.481561	-0.303252
-2.492494	-0.193741
-2.498522	-0.086177
-2.499934	0.019215
-2.497018	0.122244
-2.490253	0.220702
-2.479888	0.316606
-2.466182	0.409846
-2.449416	0.500342
-2.429871	0.588038
-2.407766	0.672877
-2.383328	0.754827
-2.356816	0.833884
-2.328363	0.910373
-2.298247	0.983955
-2.266654	1.054649
-2.233810	1.122506
-2.199444	1.188485
-2.164143	1.251639
-2.128054	1.312016
-2.091367	1.369706
-2.053490	1.425914
-2.015267	1.479466
-1.976812	1.530428
-1.938278	1.578915
-1.898964	1.626035
-1.859774	1.670738
-1.820791	1.713100
-1.782135	1.753248
-1.742897	1.792307
-1.704150	1.829209
-1.665948	1.864029
-1.628383	1.896903
-1.591899	1.927664
-1.556127	1.956674
-1.521093	1.984002
-1.486858	2.009762
-1.454552	2.033295
-1.423036	2.055489
-1.392322	2.076398
-1.362442	2.096109
-1.333963	2.114368
-1.306305	2.131577
-1.279470	2.147778
-1.253476	2.163040
-1.228659	2.177248
-1.204663	2.190623
-1.181488	2.203198
-1.159141	2.215028
-1.137935	2.226008
-1.117528	2.236328
-1.097916	2.246014
-1.079102	2.255107
-1.061358	2.263520
-1.044380	2.271408
-1.028160	2.278790
-1.012699	2.285698
-0.998220	2.292065
-0.984466	2.298009
-0.971433	2.303544
-0.959119	2.308695
-0.947700	2.313410
-0.936970	2.317780
-0.926921	2.321813
-0.917554	2.325528
-0.909003	2.328887
-0.901103	2.331957
-0.893851	2.334744
-0.887246	2.337260
-0.881382	2.339480
-0.876137	2.341451
-0.871509	2.343176
-0.867496	2.344663
-0.864157	2.345897
-0.861407	2.346909
-0.859245	2.347701
-0.857671	2.348275
-0.856702	2.348630
-0.856291	2.348780
-0.856437	2.348726
-0.857142	2.348469
-0.858315	2.348041
-0.859983	2.347430
-0.862146	2.346637
-0.864806	2.345658
-0.868685	2.344223
-0.873293	2.342510
-0.878633	2.340514
-0.884706	2.338226
-0.891514	2.335636
-0.899061	2.332740
-0.907354	2.329530
-0.916392	2.325992
-0.925652	2.322318
-0.935591	2.318330
-0.946213	2.314019
-0.957521	2.309366
-0.969130	2.304513
-0.981391	2.299316
-0.994308	2.293764
-1.007883	2.287836
-1.021911	2.281598
-1.036586	2.274965
-1.051914	2.267924
-1.067893	2.260449
-1.084367	2.252585
-1.101488	2.244258
-1.119261	2.235455
-1.137684	2.226141
-1.156631	2.216346
-1.176225	2.206005
-1.196470	2.195100
-1.217358	2.183593
-1.238803	2.171485
-1.260889	2.158729
-1.283619	2.145303
-1.306980	2.131162
-1.330925	2.116274
-1.355495	2.100613
-1.380691	2.084154
-1.406492	2.066843
-1.432897	2.048604
-1.459894	2.029442
-1.487482	2.009330
-1.515628	1.988202
-1.544383	1.965921
-1.573674	1.942539
-1.603493	1.918025
-1.633792	1.892305
-1.664688	1.865145
-1.696025	1.836677
-1.727788	1.806865
-1.759907	1.775627
-1.792312	1.742860
-1.825006	1.708570
-1.857962	1.672720
-1.891086	1.635220
-1.922655	1.597929
-1.954286	1.559056
-1.985942	1.518570
-2.017522	1.476396
-2.047546	1.434413
-2.077389	1.390811
-2.107007	1.345564
-2.136290	1.298613
-2.164019	1.251803
-2.191310	1.203359
-2.218108	1.153264
-2.244298	1.101474
-2.268711	1.050212
-2.292422	0.997358
-2.315373	0.942904
-2.337445	0.886827
-2.357574	0.831771
-2.376755	0.775226
-2.394922	0.717195
-2.411962	0.657673
-2.426965	0.599871
-2.440809	0.540745
-2.453431	0.480309
-2.464726	0.418578
-2.474003	0.359617
-2.481983	0.299557
-2.488609	0.238424
-2.493793	0.176245
-2.497188	0.118622
-2.499274	0.060180
